"Börsdata ID";"Bolagsnamn";"Info - Ticker";"Info - Rapport";"F-Score - Poäng";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år";"Börsvärde - Senaste";"Info - Sektor";"Info - Bransch"
"928";"Vicore Pharma";"VICO";"Q4-2025";;"-1,7%";"-15,4%";"28,5%";"2866";"Hälsovård";"Läkemedel"
"291";"Eolus";"EOLU B";"Q4-2025";"5";"-9,1%";"-15,5%";"-37,5%";"883";"Kraftförsörjning";"Vindkraft"
"428";"Thule";"THULE";"Q4-2025";"6";"-13,0%";"-15,6%";"-37,8%";"23250";"Sällanköpsvaror";"Bil & Motor"
"28";"Beijer Ref";"BEIJ B";"Q4-2025";"7";"-11,2%";"-15,6%";"-15,6%";"68956";"Industri";"Installation & VVS"
"1015";"AddLife";"ALIF B";"Q4-2025";"8";"-19,7%";"-16,3%";"-10,2%";"17976";"Hälsovård";"Biotech"
"117";"Kabe";"KABE B";"Q4-2025";"6";"-10,0%";"-17,5%";"-35,0%";"1649";"Sällanköpsvaror";"Bil & Motor"
"2202";"Vimian Group";"VIMIAN";"Q4-2025";"8";"-16,6%";"-17,6%";"-38,1%";"13210";"Hälsovård";"Hälsovård & Hjälpmedel"
"188";"Rejlers";"REJL B";"Q4-2025";"5";"-19,8%";"-17,6%";"-2,9%";"3681";"Industri";"Affärskonsulter"
"114";"ITAB Shop Concept";"ITAB";"Q4-2025";"4";"-22,5%";"-18,2%";"-36,3%";"3682";"Industri";"Bygginredning"
"137";"MEKO";"MEKO";"Q4-2025";"4";"-7,9%";"-18,3%";"-46,9%";"3622";"Sällanköpsvaror";"Bil & Motor"
"908";"Sinch";"SINCH";"Q4-2025";"6";"-20,9%";"-18,3%";"-4,4%";"17487";"Informationsteknik";"Kommunikation"
"127";"Lindab";"LIAB";"Q4-2025";"8";"-21,7%";"-18,4%";"-17,1%";"12938";"Industri";"Installation & VVS"
"206";"SinterCast";"SINT";"Q4-2025";"7";"-16,8%";"-18,7%";"-19,8%";"629";"Industri";"Industrikomponenter"
"739";"Alimak";"ALIG";"Q4-2025";"9";"-14,0%";"-19,0%";"-14,2%";"13404";"Industri";"Installation & VVS"
"318";"MedCap";"MCAP";"Q4-2025";"4";"-9,4%";"-19,1%";"26,3%";"7381";"Hälsovård";"Läkemedel"
"434";"PowerCell";"PCELL";"Q4-2025";"3";"-43,4%";"-19,6%";"-34,1%";"1228";"Kraftförsörjning";"Förnybarenergi"
"2383";"Momentum Group";"MMGR B";"Q4-2025";"4";"-20,5%";"-20,0%";"-32,3%";"6290";"Industri";"Industrikomponenter"
"489";"Sivers Semiconductors";"SIVE";"Q4-2025";"3";"-21,0%";"-20,1%";"-38,0%";"978";"Informationsteknik";"Elektronik & Tillverkning"
"1459";"Medicover";"MCOV B";"Q4-2025";"8";"-8,7%";"-20,2%";"1,0%";"32396";"Hälsovård";"Sjukhus & Vårdhem"
"186";"RaySearch Laboratories";"RAY B";"Q4-2025";"8";"-14,6%";"-20,6%";"-23,3%";"6589";"Hälsovård";"Medicinsk Utrustning"
"30";"Ependion";"EPEN";"Q4-2025";"3";"-11,0%";"-20,6%";"-13,6%";"3228";"Informationsteknik";"Datorer & Hårdvara"
"164";"Novotek";"NTEK B";"Q4-2025";"6";"-16,2%";"-21,1%";"-16,8%";"704";"Informationsteknik";"Affärs- & IT-System"
"1376";"BICO Group";"BICO";"Q4-2025";"5";"-10,5%";"-21,7%";"-52,1%";"1239";"Hälsovård";"Medicinsk Utrustning"
"926";"Stillfront";"SF";"Q4-2025";"4";"-35,9%";"-22,0%";"-36,7%";"2181";"Sällanköpsvaror";"Gaming & Spel"
"73";"Enea";"ENEA";"Q4-2025";"6";"-12,4%";"-22,0%";"-38,1%";"1207";"Informationsteknik";"IT-Konsulter"
"104";"Husqvarna B";"HUSQ B";"Q4-2025";"9";"-10,7%";"-22,2%";"-25,7%";"23561";"Sällanköpsvaror";"Hemelektronik"
"270";"C-RAD";"CRAD B";"Q4-2025";"6";"-19,7%";"-22,3%";"-23,4%";"848";"Hälsovård";"Medicinsk Utrustning"
"1574";"Arjo";"ARJO B";"Q4-2025";"6";"-17,9%";"-22,5%";"-33,4%";"7103";"Hälsovård";"Hälsovård & Hjälpmedel"
"254";"Bulten";"BULTEN";"Q4-2025";"4";"-17,5%";"-23,8%";"-40,4%";"875";"Industri";"Industrikomponenter"
"36";"Bioinvent";"BINV";"Q4-2025";"3";"-25,0%";"-24,2%";"-21,6%";"1435";"Hälsovård";"Biotech"
"2147";"Arla Plast";"ARPL";"Q4-2025";"6";"-2,3%";"-24,3%";"-13,8%";"969";"Industri";"Byggmaterial"
"125";"Lammhults Design";"LAMM B";"Q4-2025";"5";"-22,6%";"-24,4%";"6,7%";"244";"Industri";"Bygginredning"
"248";"Cavotec";"CCC";"Q4-2025";"4";"-14,0%";"-24,5%";"-33,7%";"1280";"Industri";"Industrimaskiner"
"136";"Medivir";"MVIR";"Q4-2025";"3";"287,4%";"-24,6%";"-21,5%";"797";"Hälsovård";"Biotech"
